id,first_name,last_name,email,phone,company,position,subject,message,status,created_at,updated_at
650e8400-e29b-41d4-a716-446655440001,Marie,Dubois,marie.dubois@seeg.ga,+241 01 23 45 67,SEEG,Directrice RH,coaching,"Nous souhaitons mettre en place un programme de coaching pour nos managers. Notre équipe de 15 cadres supérieurs a besoin d'accompagnement en leadership transformationnel.",new,2024-01-16 09:30:00+00,2024-01-16 09:30:00+00
650e8400-e29b-41d4-a716-446655440002,Jean,Martin,jean.martin@orabank.ga,+241 02 34 56 78,Orabank,Directeur Général,transformation,"Notre banque traverse une période de transformation digitale. Nous avons besoin d'accompagnement pour conduire ce changement avec nos 200 collaborateurs.",in_progress,2024-01-22 14:15:00+00,2024-01-25 10:00:00+00
650e8400-e29b-41d4-a716-446655440003,Fatou,Diallo,fatou.diallo@afg.ga,+241 03 45 67 89,AFG Bank,Responsable Formation,formation,"Nous recherchons une formation en management d'équipe pour nos 25 chefs de service. Pouvez-vous nous proposer un programme sur 3 jours ?",completed,2024-01-28 11:20:00+00,2024-02-05 16:30:00+00
650e8400-e29b-41d4-a716-446655440004,Pierre,Nze,pierre.nze@trianon.ga,+241 04 56 78 90,Hôtel Trianon,Directeur Général,team-coaching,"Notre équipe dirigeante de 8 personnes a besoin de cohésion. Nous souhaitons un coaching d'équipe pour améliorer notre collaboration et notre efficacité.",new,2024-02-03 16:45:00+00,2024-02-03 16:45:00+00
650e8400-e29b-41d4-a716-446655440005,Aminata,Ba,aminata.ba@unesco.org,+241 05 67 89 01,UNESCO,Coordinatrice Régionale,conference,"Nous organisons un séminaire sur le leadership en Afrique Centrale. Seriez-vous disponible pour une conférence de 2h devant 150 participants ?",in_progress,2024-02-08 10:30:00+00,2024-02-10 14:20:00+00
650e8400-e29b-41d4-a716-446655440006,Claude,Mba,claude.mba@worldbank.org,+241 06 78 90 12,Banque Mondiale,Chef de Projet,coaching,"Je dirige une équipe de 12 consultants sur un projet de développement. J'aimerais bénéficier d'un coaching individuel pour améliorer mon leadership.",new,2024-02-12 13:15:00+00,2024-02-12 13:15:00+00
650e8400-e29b-41d4-a716-446655440007,Grace,Obame,grace.obame@eu.int,+241 07 89 01 23,Union Européenne,Attachée de Coopération,formation,"Nous lançons un programme de renforcement des capacités. Pouvez-vous intervenir sur la conduite du changement pour 40 bénéficiaires ?",completed,2024-02-18 15:45:00+00,2024-02-28 11:00:00+00
650e8400-e29b-41d4-a716-446655440008,Sylvie,Akendengue,sylvie.akendengue@total.ga,+241 08 90 12 34,TotalEnergies,Responsable HSE,transformation,"Notre département HSE (30 personnes) doit s'adapter aux nouvelles normes environnementales. Nous cherchons un accompagnement en transformation organisationnelle.",new,2024-02-26 12:30:00+00,2024-02-26 12:30:00+00
650e8400-e29b-41d4-a716-446655440009,Robert,Ella,robert.ella@libreville.ga,+241 09 01 23 45,Mairie de Libreville,Directeur Cabinet,coaching,"En tant que nouveau directeur de cabinet, j'aimerais développer mes compétences en leadership et gestion d'équipe. Coaching individuel souhaité.",in_progress,2024-03-02 09:20:00+00,2024-03-05 14:30:00+00
650e8400-e29b-41d4-a716-446655440010,Isabelle,Ndong,isabelle.ndong@orange.ga,+241 10 12 34 56,Orange Gabon,DRH Adjointe,formation,"Formation en intelligence émotionnelle pour nos 20 managers. Nous souhaitons améliorer le climat social et la performance de nos équipes.",new,2024-03-07 14:10:00+00,2024-03-07 14:10:00+00
650e8400-e29b-41d4-a716-446655440011,Francis,Ondo,francis.ondo@airtel.ga,+241 11 23 45 67,Airtel Gabon,Directeur Commercial,team-coaching,"Mon équipe commerciale de 15 personnes manque de synergie. Nous avons besoin d'un coaching d'équipe pour booster nos performances et notre cohésion.",new,2024-03-11 11:45:00+00,2024-03-11 11:45:00+00
650e8400-e29b-41d4-a716-446655440012,Thierry,Moussounda,thierry.moussounda@comilog.ga,+241 12 34 56 78,Comilog,Chef de Département,autre,"Nous préparons la succession de plusieurs postes clés. Pouvez-vous nous accompagner dans l'identification et le développement de nos futurs leaders ?",new,2024-03-13 16:20:00+00,2024-03-13 16:20:00+00
